fold,horizon,n,brier,brier_persistence,reliability_slope,slope_pass
14,60,13510,0.013968072860769122,0.02827535159141377,1.0509648548246084,True
14,120,12710,0.016128827006579128,0.05066876475216365,1.1713327737877313,False
14,180,11901,0.016881217313855484,0.06327199395008823,1.2412844862026404,False
14,240,11131,0.015832083770101656,0.07483604348216692,1.3111066951683241,False
14,360,9595,0.014632123129420343,0.1003647733194372,1.829188568734621,False
15,15,12157,0.004361271427972202,0.006580570864522497,1.0377073603518692,True
15,30,12036,0.005372205066478219,0.011299435028248588,1.0574468217140718,True
15,60,11736,0.007507739172259161,0.020535105657805044,1.031263684558724,True
15,120,11040,0.010957511804594451,0.04338768115942029,1.067835163056854,True
15,180,10532,0.012925129314369241,0.060767185719711354,1.0753144069528566,True
15,240,9941,0.013792447840830816,0.07635046775978271,1.0010948189872306,True
15,360,8371,0.014626045485131339,0.10321347509258152,0.9321204693981096,True
16,15,13435,0.004646278747622102,0.006996650539635281,0.9335725308354993,True
16,30,13133,0.0061676492373836265,0.01149775375009518,0.9650529305580312,True
16,60,12877,0.008026264369499268,0.019569775568843675,0.885756335503266,False
16,120,12172,0.010386234692543425,0.035984226092671705,0.8179186133793918,False
16,180,11435,0.011812754945406862,0.044774814167031045,0.9269552629201324,True
16,240,10906,0.015296346867799359,0.05345681276361636,0.8059410096008115,False
16,360,9534,0.01990315818816516,0.0750996433815817,0.6795431880580628,False
17,15,10911,0.0039026761212726147,0.006232242690862432,1.0217404208384586,True
17,30,10780,0.006644156385703232,0.010667903525046383,0.883982911819303,False
17,60,10596,0.010183195032900485,0.01802567006417516,0.7183812811096331,False
17,120,9973,0.01152344566212744,0.027975533941642435,0.8641370242906189,False
17,180,9429,0.013542785564052116,0.034998409163219855,0.8054278249501379,False
17,240,8896,0.015076385393444415,0.040692446043165464,0.804678886716743,False
17,360,7929,0.019124343569787716,0.05297010972379872,0.9141459133089511,True
