ts_kst,parking_id,cell_cnt,park_count,compet_occ_500,compet_n_500,target_occ_pct
2026-09-04 12:05:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 12:10:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:15:33+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:20:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:25:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:30:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:35:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 12:40:33+09:00,20,170,150,,0,88.23529411764706
2026-09-04 12:45:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:50:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:55:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 13:00:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 13:05:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 13:10:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 13:15:32+09:00,20,170,154,,0,90.58823529411765
2026-09-04 13:20:32+09:00,20,170,155,,0,91.17647058823529
2026-09-04 13:25:32+09:00,20,170,155,,0,91.17647058823529
2026-09-04 13:30:32+09:00,20,170,155,,0,91.17647058823529
2026-09-04 13:35:32+09:00,20,170,153,,0,90.0
2026-09-04 13:40:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 13:45:33+09:00,20,170,152,,0,89.41176470588236
2026-09-04 13:50:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 13:55:33+09:00,20,170,150,,0,88.23529411764706
2026-09-04 14:00:32+09:00,20,170,149,,0,87.6470588235294
2026-09-04 14:05:33+09:00,20,170,150,,0,88.23529411764706
2026-09-04 14:10:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 14:15:34+09:00,20,170,149,,0,87.6470588235294
2026-09-04 14:20:34+09:00,20,170,149,,0,87.6470588235294
2026-09-04 14:25:34+09:00,20,170,148,,0,87.05882352941177
2026-09-04 14:30:32+09:00,20,170,146,,0,85.88235294117646
2026-09-04 14:35:33+09:00,20,170,145,,0,85.29411764705883
2026-09-04 14:40:32+09:00,20,170,144,,0,84.70588235294117
2026-09-04 14:45:35+09:00,20,170,141,,0,82.94117647058825
2026-09-04 14:50:34+09:00,20,170,140,,0,82.35294117647058
2026-09-04 14:55:34+09:00,20,170,139,,0,81.76470588235294
2026-09-04 15:00:32+09:00,20,170,142,,0,83.52941176470588
2026-09-04 15:05:33+09:00,20,170,140,,0,82.35294117647058
2026-09-04 15:10:33+09:00,20,170,140,,0,82.35294117647058
2026-09-04 15:15:33+09:00,20,170,137,,0,80.58823529411765
2026-09-04 15:20:32+09:00,20,170,138,,0,81.17647058823529
2026-09-04 15:25:32+09:00,20,170,138,,0,81.17647058823529
2026-09-04 15:30:32+09:00,20,170,139,,0,81.76470588235294
2026-09-04 15:35:32+09:00,20,170,136,,0,80.0
2026-09-04 15:40:32+09:00,20,170,137,,0,80.58823529411765
2026-09-04 15:45:34+09:00,20,170,137,,0,80.58823529411765
2026-09-04 15:50:34+09:00,20,170,137,,0,80.58823529411765
2026-09-04 15:55:33+09:00,20,170,136,,0,80.0
2026-09-04 16:00:34+09:00,20,170,139,,0,81.76470588235294
2026-09-04 16:05:34+09:00,20,170,141,,0,82.94117647058825
2026-09-04 16:10:35+09:00,20,170,142,,0,83.52941176470588
2026-09-04 16:15:35+09:00,20,170,141,,0,82.94117647058825
2026-09-04 16:20:33+09:00,20,170,143,,0,84.11764705882354
2026-09-04 16:25:32+09:00,20,170,142,,0,83.52941176470588
2026-09-04 16:30:33+09:00,20,170,144,,0,84.70588235294117
2026-09-04 16:35:32+09:00,20,170,147,,0,86.47058823529412
2026-09-04 16:40:32+09:00,20,170,148,,0,87.05882352941177
