horizon,row_set,model,parking_id,n,ml_mae,evaluable,passes
120,core,g0,10,994,4.0364598391514575,True,True
120,core,g0,11,994,6.623450809062624,True,True
120,core,g0,12,994,2.5556074365047783,True,True
120,core,g0,13,994,4.8621478900580115,True,True
120,core,g0,14,123,1.8757027973382987,True,True
120,core,g0,16,994,3.0507619529140952,True,True
120,core,g0,17,994,2.1346080858712244,True,True
120,core,g0,18,994,4.360784629126008,True,True
120,core,g0,20,994,3.6485949188114515,True,True
120,core,g0,21,994,3.264856490187422,True,True
120,core,g0,22,204,8.497899924685557,True,True
120,core,g0,23,132,4.954004893720984,True,True
120,core,g0,24,994,4.5314935145205615,True,True
120,core,g0,25,994,6.893398709565423,True,True
120,core,g0,26,733,9.462864700751965,True,True
120,core,g0,27,994,3.4704575510075886,True,True
120,core,g0,28,994,4.6492191287216,True,True
120,core,g0,29,994,7.499659395997517,True,True
120,core,g0,30,994,12.11049003023495,True,False
120,core,g0,31,994,5.520334496830672,True,True
120,core,g0,33,994,5.0196845309670985,True,True
120,core,g0,34,994,3.86994624444843,True,True
120,core,g0,36,994,3.8882882461280186,True,True
120,core,g0,37,994,2.310189948805895,True,True
120,core,g0,38,994,4.044008134638074,True,True
120,core,g0,39,994,3.1348819703592903,True,True
120,core,g0,40,994,6.346489181235568,True,True
120,core,g0,42,994,6.870082270827759,True,True
120,core,g0,48,369,10.91584735055409,True,False
120,core,g0,52,119,4.824368937075541,True,True
120,core,g0,53,388,6.591378283403126,True,True
120,core,g0,56,187,9.139636251486168,True,True
120,core,g0,81,994,7.509497684787976,True,True
120,core,g0,82,994,2.615184901671014,True,True
120,core,g0,106,994,3.2944009170623967,True,True
120,core,g0,108,994,3.5132408085679003,True,True
120,core,g0,112,994,7.739889068602534,True,True
120,core,g0,121,994,4.399318303908534,True,True
120,core,g0,161,180,13.080682477380822,True,False
120,core,g0,162,174,16.233451986541294,True,False
120,core,g0,163,180,5.75144192204233,True,True
120,core,g0,164,180,7.45229116037055,True,True
120,core,g0,165,180,23.29693580171954,True,False
120,core,g0,166,180,7.476094600585778,True,True
120,core,g0,167,180,12.532627074479267,True,False
120,core,g0,168,180,15.02160615297086,True,False
120,core,g0,169,178,14.694578733560892,True,False
120,core,g0,170,180,13.973552050534401,True,False
120,core,g0,171,180,14.606943198800032,True,False
120,core,g0,172,156,4.749867001552698,True,True
120,core,g0,181,994,3.7243917461293385,True,True
120,core,g0,182,994,7.6277146419933,True,True
120,core,g0,183,994,10.925705794919791,True,False
120,core,g0,201,994,9.718652442373614,True,True
120,core,g0,241,214,11.028172235166497,True,False
120,core,g0,261,214,11.05303733868501,True,False
120,core,g0,262,214,11.022396262844948,True,False
120,core,g0,401,994,7.770098035727436,True,True
120,core,g0,421,994,5.43152124657007,True,True
120,core,g0,441,994,6.100714958570131,True,True
120,core,g0,461,994,6.908413419740817,True,True
120,core,g0,521,994,2.6898471425834742,True,True
120,core,g0,522,994,2.047000497986647,True,True
120,all,g0,7,243,1.0445906400567933,True,True
120,all,g0,8,475,3.9523914986936757,True,True
120,all,g0,9,475,3.22641711836284,True,True
120,all,g0,10,475,3.7673248418076457,True,True
120,all,g0,11,475,6.3008479987409585,True,True
120,all,g0,12,475,2.6486628193524786,True,True
120,all,g0,13,475,6.393751550101749,True,True
120,all,g0,14,107,0.6719248090941816,True,True
120,all,g0,16,475,2.4567823681291983,True,True
120,all,g0,17,475,2.5801106818581556,True,True
120,all,g0,18,475,4.1333723938529,True,True
120,all,g0,20,475,3.429605401785257,True,True
120,all,g0,21,475,3.2794918938541664,True,True
120,all,g0,22,152,8.574579129421501,True,True
120,all,g0,23,97,4.1416757299376705,True,True
120,all,g0,24,475,4.940365632586959,True,True
120,all,g0,25,475,7.15846887578513,True,True
120,all,g0,26,426,9.638409239347016,True,True
120,all,g0,27,475,3.177732186115644,True,True
120,all,g0,28,475,4.934608391733554,True,True
120,all,g0,29,475,8.509347877759089,True,True
120,all,g0,30,475,14.139173680534345,True,False
120,all,g0,31,475,4.200518301113319,True,True
120,all,g0,33,475,6.5020795675708625,True,True
120,all,g0,34,475,3.325973232432228,True,True
120,all,g0,36,475,3.4263402199662387,True,True
120,all,g0,37,475,2.639280232989357,True,True
120,all,g0,38,475,4.923907007542188,True,True
120,all,g0,39,475,3.501490033098834,True,True
120,all,g0,40,475,6.828718348291258,True,True
120,all,g0,42,475,8.19267572909677,True,True
120,all,g0,48,231,9.765417601387215,True,True
120,all,g0,52,103,4.654859347482284,True,True
120,all,g0,53,238,5.952837639480602,True,True
120,all,g0,56,155,9.45713156239364,True,True
120,all,g0,81,475,7.6629938136069935,True,True
120,all,g0,82,475,2.697834489922396,True,True
120,all,g0,106,475,6.786244975815479,True,True
120,all,g0,108,475,4.414845289596003,True,True
120,all,g0,112,475,6.695491718402802,True,True
120,all,g0,121,475,5.678049230038886,True,True
120,all,g0,161,148,13.494307107196109,True,False
120,all,g0,162,146,16.931307284371194,True,False
120,all,g0,163,151,6.533468771863812,True,True
120,all,g0,164,152,7.778416774305163,True,True
120,all,g0,165,152,25.766634737983647,True,False
120,all,g0,166,152,8.056384064169857,True,True
120,all,g0,167,152,13.663779386000334,True,False
120,all,g0,168,146,13.678008227491501,True,False
120,all,g0,169,150,15.36253001250813,True,False
120,all,g0,170,152,12.161851263219102,True,False
120,all,g0,171,152,14.269837129676665,True,False
120,all,g0,172,128,5.65236765600692,True,True
120,all,g0,181,475,3.551857849712611,True,True
120,all,g0,182,475,7.963504828596431,True,True
120,all,g0,183,475,12.949849189041997,True,False
120,all,g0,201,475,14.485784825359879,True,False
120,all,g0,241,182,11.877457167789883,True,False
120,all,g0,261,180,11.36861189908888,True,False
120,all,g0,262,182,11.80714212798701,True,False
120,all,g0,401,475,8.279201722233116,True,True
120,all,g0,421,475,6.210269702488724,True,True
120,all,g0,441,475,8.646994509682512,True,True
120,all,g0,461,475,8.053274808530903,True,True
120,all,g0,521,475,2.475314199927321,True,True
120,all,g0,522,475,2.1881988095505593,True,True
180,core,g0,7,282,0.5808189360384688,True,True
180,core,g0,8,843,3.915272671006364,True,True
180,core,g0,9,843,3.609888237604361,True,True
180,core,g0,10,843,4.742727075743931,True,True
180,core,g0,11,843,7.424408772490308,True,True
180,core,g0,12,843,2.888167979854404,True,True
180,core,g0,13,843,5.353141363144684,True,True
180,core,g0,14,86,1.666323975331703,True,True
180,core,g0,16,843,3.0620590499862845,True,True
180,core,g0,17,843,2.4022076218923614,True,True
180,core,g0,18,843,5.713277856832179,True,True
180,core,g0,20,843,3.9135896951134233,True,True
180,core,g0,21,843,3.6394636327681207,True,True
180,core,g0,22,137,8.061733282987804,True,True
180,core,g0,23,86,5.86354384572069,True,True
180,core,g0,24,843,5.091685867379682,True,True
180,core,g0,25,843,8.132245916584168,True,True
180,core,g0,26,594,9.948779963827883,True,True
180,core,g0,27,843,3.9147301495420876,True,True
180,core,g0,28,843,4.973084028501639,True,True
180,core,g0,29,843,7.69499847644961,True,True
180,core,g0,30,843,11.863929223286016,True,False
180,core,g0,31,843,5.146472294747204,True,True
180,core,g0,33,843,5.65243027158482,True,True
180,core,g0,34,843,3.9262315678858353,True,True
180,core,g0,36,843,4.7827872020083175,True,True
180,core,g0,37,843,2.4339560205657107,True,True
180,core,g0,38,843,4.233577935771013,True,True
180,core,g0,39,843,3.445483750787167,True,True
180,core,g0,40,843,7.186301155724138,True,True
180,core,g0,42,843,7.866167830228256,True,True
180,core,g0,48,262,11.53775231107181,True,False
180,core,g0,52,82,7.5670406525609515,True,True
180,core,g0,53,281,7.32595366275898,True,True
180,core,g0,56,137,9.726744349383365,True,True
180,core,g0,81,843,7.852355793631995,True,True
180,core,g0,82,843,3.3467379333443907,True,True
180,core,g0,106,843,4.961320307310546,True,True
180,core,g0,108,843,2.39363907929251,True,True
180,core,g0,112,843,8.261748009852292,True,True
180,core,g0,121,843,4.999376745660743,True,True
180,core,g0,161,134,17.27654947672841,True,False
180,core,g0,162,128,21.49377237335292,True,False
180,core,g0,163,134,6.3670539208031665,True,True
180,core,g0,164,134,7.406719242077735,True,True
180,core,g0,165,134,24.387263130842094,True,False
180,core,g0,166,134,8.493661352718695,True,True
180,core,g0,167,134,11.347456223876893,True,False
180,core,g0,168,134,13.687238506414785,True,False
180,core,g0,169,132,15.746683833913666,True,False
180,core,g0,170,134,12.570338276225822,True,False
180,core,g0,171,134,15.510023505940014,True,False
180,core,g0,172,110,5.88321601581971,True,True
180,core,g0,181,843,4.078466135972732,True,True
180,core,g0,182,843,8.876166591484251,True,True
180,core,g0,183,843,11.808866791841451,True,False
180,core,g0,201,843,12.361789713766571,True,False
180,core,g0,241,158,11.643978899592797,True,False
180,core,g0,261,158,10.42619747446852,True,False
