parking_id,name,horizon,access_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status
40,안양6동1노외,30,accessible,624,1,3,3.6965811965811963,3.6074339206697257,7.158661798579309,6.977180752384463,0.08914727591147065,2.4116141691657957,better
40,안양6동1노외,60,accessible,558,1,3,5.698924731182796,5.058760665554731,9.86770313261909,8.871116442218598,0.6401640656280652,11.233067566681141,better
40,안양6동1노외,120,accessible,447,1,3,8.717375093214018,6.500784404391445,13.443800404884525,9.819714181342666,2.2165906888225733,25.427272144662712,better
42,느루소공원지하,15,accessible,657,1,3,1.8714542687145426,1.858729825886236,4.39329521050507,4.338076336002595,0.012724442828306648,0.6799227232545075,better
42,느루소공원지하,30,accessible,624,1,3,3.4710081585081585,3.2518179550384785,7.48322716554755,6.871370243130505,0.21919020346968,6.314885861976426,better
42,느루소공원지하,60,accessible,558,1,3,6.451612903225806,5.704577900703438,12.763267770311176,10.726102372456289,0.7470350025223684,11.57904253909671,better
42,느루소공원지하,120,accessible,447,1,3,10.504372584909497,9.13544965952442,18.94010574216609,15.422634257715401,1.3689229253850765,13.03193421900953,better
48,안양역2노상,15,accessible,274,1,3,7.481751824817518,7.331822448323406,9.729460866827313,9.565795505379768,0.14992937649411253,2.003934105335943,better
48,안양역2노상,30,accessible,256,1,3,10.465494791666668,9.27007272344335,13.38298453909333,11.807098099558562,1.1954220682233174,11.422508844734153,better
48,안양역2노상,60,accessible,220,1,3,14.090909090909092,10.01491466281661,18.709974113106927,12.861460780491912,4.075994428092482,28.926412070333743,better
48,안양역2노상,120,accessible,148,1,3,18.41216216216216,12.6416320769925,24.8871326064167,15.621086685427368,5.770530085169661,31.340860646059078,better
52,남부노상,15,accessible,51,1,1,5.2049910873440295,5.2952588386482535,13.520002646468862,13.460978114739858,-0.09026775130422404,-1.7342537151256738,worse
52,남부노상,30,accessible,45,1,1,6.86868686868687,7.094562442555624,16.62418829187267,15.424728962606713,-0.22587557386875368,-3.2884826195597956,worse
52,남부노상,60,accessible,33,1,1,9.862258953168045,8.93295091669899,19.492689364031445,16.59967932173909,0.9293080364690542,9.422871989895716,better
52,남부노상,120,accessible,15,1,1,4.848484848484849,4.660453766733212,5.514818504764763,5.067971593820406,0.1880310817516362,3.8781410611274962,better
