fold,horizon,segment,n,n_interval,inside,coverage,avg_width,status,ml_mae,persistence_mae
9,120,평일,11927,11927,9317,0.7811687767250776,18.14889257723793,pass,5.457227415661589,9.968741949718307
9,120,주말,0,0,0,,,unavailable,,
9,120,운영중·평일,6574,6574,5172,0.786735625190143,20.845669895817935,pass,6.2483524128232375,11.724526138569665
9,120,운영중·주말,0,0,0,,,unavailable,,
9,120,운영외·평일,5353,5353,4145,0.7743321501961516,14.836990075398786,pass,4.4856496590128545,7.812469717790636
9,120,운영외·주말,0,0,0,,,unavailable,,
9,240,전체,10429,10429,7764,0.7444625563333014,22.531025086383693,fail,6.887387155954187,16.501570101228115
9,240,운영중,6226,6226,4748,0.7626084163186637,24.31403418009473,fail,7.102640245982215,18.202160473612306
9,240,운영외,4203,4203,3016,0.7175826790387818,19.889812948043243,fail,6.56852783201545,13.9824466992619
9,240,평일,10429,10429,7764,0.7444625563333014,22.531025086383693,fail,6.887387155954187,16.501570101228115
9,240,주말,0,0,0,,,unavailable,,
9,240,운영중·평일,6226,6226,4748,0.7626084163186637,24.31403418009473,fail,7.102640245982215,18.202160473612306
9,240,운영중·주말,0,0,0,,,unavailable,,
9,240,운영외·평일,4203,4203,3016,0.7175826790387818,19.889812948043243,fail,6.56852783201545,13.9824466992619
9,240,운영외·주말,0,0,0,,,unavailable,,
9,360,전체,9231,9231,6683,0.7239735673274835,24.996039587828538,fail,8.013683835518053,22.892461614032246
9,360,운영중,5833,5833,4312,0.7392422424138522,25.12469186359901,fail,7.71324027950861,24.123686238965266
9,360,운영외,3398,3398,2371,0.6977633902295468,24.775195348696936,fail,8.52942464252308,20.77894388677083
9,360,평일,9231,9231,6683,0.7239735673274835,24.996039587828538,fail,8.013683835518053,22.892461614032246
9,360,주말,0,0,0,,,unavailable,,
9,360,운영중·평일,5833,5833,4312,0.7392422424138522,25.12469186359901,fail,7.71324027950861,24.123686238965266
9,360,운영중·주말,0,0,0,,,unavailable,,
9,360,운영외·평일,3398,3398,2371,0.6977633902295468,24.775195348696936,fail,8.52942464252308,20.77894388677083
9,360,운영외·주말,0,0,0,,,unavailable,,
10,15,전체,9963,0,0,,,unavailable,2.01889589722977,2.1027285320828213
10,15,운영중,2208,0,0,,,unavailable,2.1133511785528123,2.229297794902565
10,15,운영외,7755,0,0,,,unavailable,1.992002633379186,2.0666917903283406
10,15,평일,0,0,0,,,unavailable,,
10,15,주말,9963,0,0,,,unavailable,2.01889589722977,2.1027285320828213
10,15,운영중·평일,0,0,0,,,unavailable,,
10,15,운영중·주말,2208,0,0,,,unavailable,2.1133511785528123,2.229297794902565
10,15,운영외·평일,0,0,0,,,unavailable,,
10,15,운영외·주말,7755,0,0,,,unavailable,1.992002633379186,2.0666917903283406
10,30,전체,9774,0,0,,,unavailable,3.0565504990747785,3.4060204130661678
10,30,운영중,2196,0,0,,,unavailable,3.055267943040699,3.582103177534049
10,30,운영외,7578,0,0,,,unavailable,3.056922166144036,3.354994053766687
10,30,평일,0,0,0,,,unavailable,,
10,30,주말,9774,0,0,,,unavailable,3.0565504990747785,3.4060204130661678
