horizon,row_set,parking_id,n,ml_mae,evaluable,passes
120,all,167,152,13.663779386000334,True,False
120,all,168,146,13.678008227491501,True,False
120,all,169,150,15.36253001250813,True,False
120,all,170,152,12.161851263219102,True,False
120,all,171,152,14.269837129676665,True,False
120,all,172,128,5.65236765600692,True,True
120,all,181,475,3.551857849712611,True,True
120,all,182,475,7.963504828596431,True,True
120,all,183,475,12.949849189041997,True,False
120,all,201,475,14.485784825359879,True,False
120,all,241,182,11.877457167789883,True,False
120,all,261,180,11.36861189908888,True,False
120,all,262,182,11.80714212798701,True,False
120,all,401,475,8.279201722233116,True,True
120,all,421,475,6.210269702488724,True,True
120,all,441,475,8.646994509682512,True,True
120,all,461,475,8.053274808530903,True,True
120,all,521,475,2.475314199927321,True,True
120,all,522,475,2.1881988095505593,True,True
180,core,7,282,0.5808189360384688,True,True
180,core,8,843,3.915272671006364,True,True
180,core,9,843,3.609888237604361,True,True
180,core,10,843,4.742727075743931,True,True
180,core,11,843,7.424408772490308,True,True
180,core,12,843,2.888167979854404,True,True
180,core,13,843,5.353141363144684,True,True
180,core,14,86,1.666323975331703,True,True
180,core,16,843,3.0620590499862845,True,True
180,core,17,843,2.4022076218923614,True,True
180,core,18,843,5.713277856832179,True,True
180,core,20,843,3.9135896951134233,True,True
180,core,21,843,3.6394636327681207,True,True
180,core,22,137,8.061733282987804,True,True
180,core,23,86,5.86354384572069,True,True
180,core,24,843,5.091685867379682,True,True
180,core,25,843,8.132245916584168,True,True
180,core,26,594,9.948779963827883,True,True
180,core,27,843,3.9147301495420876,True,True
180,core,28,843,4.973084028501639,True,True
180,core,29,843,7.69499847644961,True,True
180,core,30,843,11.863929223286016,True,False
180,core,31,843,5.146472294747204,True,True
180,core,33,843,5.65243027158482,True,True
180,core,34,843,3.9262315678858353,True,True
180,core,36,843,4.7827872020083175,True,True
180,core,37,843,2.4339560205657107,True,True
180,core,38,843,4.233577935771013,True,True
180,core,39,843,3.445483750787167,True,True
180,core,40,843,7.186301155724138,True,True
180,core,42,843,7.866167830228256,True,True
180,core,48,262,11.53775231107181,True,False
180,core,52,82,7.5670406525609515,True,True
180,core,53,281,7.32595366275898,True,True
180,core,56,137,9.726744349383365,True,True
180,core,81,843,7.852355793631995,True,True
180,core,82,843,3.3467379333443907,True,True
180,core,106,843,4.961320307310546,True,True
180,core,108,843,2.39363907929251,True,True
180,core,112,843,8.261748009852292,True,True
180,core,121,843,4.999376745660743,True,True
180,core,161,134,17.27654947672841,True,False
180,core,162,128,21.49377237335292,True,False
180,core,163,134,6.3670539208031665,True,True
180,core,164,134,7.406719242077735,True,True
180,core,165,134,24.387263130842094,True,False
180,core,166,134,8.493661352718695,True,True
180,core,167,134,11.347456223876893,True,False
180,core,168,134,13.687238506414785,True,False
180,core,169,132,15.746683833913666,True,False
180,core,170,134,12.570338276225822,True,False
180,core,171,134,15.510023505940014,True,False
180,core,172,110,5.88321601581971,True,True
180,core,181,843,4.078466135972732,True,True
180,core,182,843,8.876166591484251,True,True
180,core,183,843,11.808866791841451,True,False
180,core,201,843,12.361789713766571,True,False
180,core,241,158,11.643978899592797,True,False
180,core,261,158,10.42619747446852,True,False
180,core,262,158,12.195340930462374,True,False
180,core,401,843,8.839270178193976,True,True
180,core,421,843,5.828862401083089,True,True
180,core,441,843,6.855274104532266,True,True
180,core,461,843,7.639992152811747,True,True
180,core,521,843,2.9211036232992647,True,True
180,core,522,843,2.2478735796811407,True,True
180,all,7,182,0.6329268181315256,True,True
180,all,8,405,3.841915189887991,True,True
180,all,9,405,2.9799341681339606,True,True
180,all,10,405,4.841921623904999,True,True
180,all,11,405,7.442429322703098,True,True
180,all,12,405,2.808685803711108,True,True
180,all,13,405,6.408544093113709,True,True
180,all,14,82,1.0225250211381558,True,True
180,all,16,405,2.1485398142058436,True,True
