horizon,row_set,weekday_group,method,n,n_lots,mae,rmse
720,all,weekend,ml,0,0,,
720,all,weekend,m1,0,0,,
720,all,weekend,persistence,0,0,,
720,all,weekend,lag_24h,0,0,,
720,all,weekend,lag_7d,0,0,,
720,all,weekend,seasonal_naive,0,0,,
1440,core,all,ml,2569,43,10.782362719103816,15.50387757341985
1440,core,all,m1,2569,43,10.235560369399558,14.636917547147961
1440,core,all,persistence,2569,43,22.2564592359505,28.981662013842833
1440,core,all,lag_24h,2569,43,22.2564592359505,28.981662013842833
1440,core,weekday,ml,2569,43,10.782362719103816,15.50387757341985
1440,core,weekday,m1,2569,43,10.235560369399558,14.636917547147961
1440,core,weekday,persistence,2569,43,22.2564592359505,28.981662013842833
1440,core,weekday,lag_24h,2569,43,22.2564592359505,28.981662013842833
1440,core,weekend,ml,0,0,,
1440,core,weekend,m1,0,0,,
1440,core,weekend,persistence,0,0,,
1440,core,weekend,lag_24h,0,0,,
1440,all,all,ml,2569,43,10.782362719103816,15.50387757341985
1440,all,all,m1,2569,43,10.235560369399558,14.636917547147961
1440,all,all,persistence,2569,43,22.2564592359505,28.981662013842833
1440,all,all,lag_24h,2569,43,22.2564592359505,28.981662013842833
1440,all,all,lag_7d,2569,43,7.774278413251751,10.482762808233435
1440,all,all,seasonal_naive,2569,43,9.268564692681407,13.30552334984616
1440,all,weekday,ml,2569,43,10.782362719103816,15.50387757341985
1440,all,weekday,m1,2569,43,10.235560369399558,14.636917547147961
1440,all,weekday,persistence,2569,43,22.2564592359505,28.981662013842833
1440,all,weekday,lag_24h,2569,43,22.2564592359505,28.981662013842833
1440,all,weekday,lag_7d,2569,43,7.774278413251751,10.482762808233435
1440,all,weekday,seasonal_naive,2569,43,9.268564692681407,13.30552334984616
1440,all,weekend,ml,0,0,,
1440,all,weekend,m1,0,0,,
1440,all,weekend,persistence,0,0,,
1440,all,weekend,lag_24h,0,0,,
1440,all,weekend,lag_7d,0,0,,
1440,all,weekend,seasonal_naive,0,0,,
