prk_center_id,name,cells,la,lo
13915-29391-00011-00-1,제 172 호,3,37.3844687159,126.9634830045
13915-29391-00025-00-1,번호 211,2,37.3852617663,126.9639704216
13915-29391-00029-00-1,번호 213,3,37.3847788972,126.9642326185
13915-29391-11011-00-1,간부숙소,14,,
13916-29391-11013-00-1,관악수목원 생태학습원,19,,
13917-29391-00013-00-1,,192,37.383858945,126.9613469491
13917-29391-00015-00-1,60호,2,37.383444508,126.961451043
13917-29391-00016-00-1,제12호,2,37.3833075759,126.9615233782
13917-29391-00017-00-1,제164호,3,37.3831670412,126.9616002314
13917-29391-00018-00-1,제62호,2,37.383030109,126.961672566
13917-29391-00023-00-1,제56호,2,37.3831849984,126.9614060103
13917-29391-00024-00-1,제312호,2,37.3833003088,126.9613427193
13917-29391-00044-00-1,.,10,37.3896014261,126.9319612891
13917-29392-00025-00-1,NO.74,2,37.3834192233,126.9612794262
13918-29391-00003-00-1,유일아르젠뷰,16,37.3841357248,126.9287413652
13918-29391-00004-00-1,더포레스트,8,37.384218763,126.9289806675
13918-29391-00007-00-1,,37,37.3904940574,126.9433929993
13918-29391-00021-00-1,,47,37.3896726643,126.9441072945
13919-29391-00014-00-1,.,4,37.3828902004,126.931262773
13923-29391-00006-00-1,,14,,
13923-29391-00008-00-1,,16,37.3796485367,126.9417436532
13923-29391-00011-00-1,,117,37.3804010867,126.9479576247
13924-29391-00009-00-1,해밀리안,12,37.3678576427,126.9538140422
13925-29391-00004-00-1,서희아리채,188,37.385627261,126.9339883637
13928-29391-00004-00-1,제24호,2,37.3790796797,126.9606403411
13928-29391-00006-00-1,No. 280,2,37.3791264636,126.9604325661
13928-29391-00008-00-1,No. 94-237,2,37.3793462727,126.9603105098
13928-29391-00018-00-1,NO. 242,3,37.3791446284,126.9608661229
13929-29391-00079-00-1,갈산동사무소,5,37.3761512476,126.966133493
13929-29391-00080-00-1,안양경찰서 호계지구대,6,37.3763134683,126.9662598722
13930-29391-00010-00-1,94-286,2,37.3760487003,126.9608451508
13934-29391-00005-00-1,유림하이츠,15,37.3837446008,126.9316594531
13934-29391-00013-00-1,,25,37.3879585511,126.9472297063
13934-29391-00016-00-1,,32,37.3857123149,126.9452800621
13934-29392-00011-00-1,,28,37.3882760553,126.9480063842
13938-29391-00049-00-1,,21,37.4205554611,126.8954484995
13941-29391-00003-00-1,,12,37.3877398825,126.9420535713
13941-29391-00004-00-1,일이기현,8,37.3876064491,126.9418865516
13941-29391-00008-00-1,,11,37.3874948706,126.9421892644
13941-29391-00010-00-1,,12,37.3872463819,126.9425869337
13941-29391-00013-00-1,,12,37.3868712477,126.9419548707
13941-29391-00018-00-1,,13,37.3850296008,126.9420466237
13941-29391-00031-00-1,,13,37.3931139972,126.9237323788
13947-29391-00034-00-1,,14,37.3912845078,126.9544049575
13947-29391-11010-00-1,수자인,12,,
13948-29391-00008-00-1,,12,37.3907793601,126.9529372341
13948-29391-00009-00-1,,12,37.3908370919,126.9531043276
13948-29391-00010-00-1,,28,37.3909020424,126.953298519
13948-29391-00011-00-1,,16,37.3899572388,126.9519711177
13948-29392-00003-00-1,,19,37.390368015,126.9517495232
13948-29392-00013-00-1,서련코아,28,37.3901232205,126.952449811
13948-29392-00016-00-1,청구랜드,14,37.3904227091,126.9533259183
13949-29391-00003-00-1,,22,37.3904411699,126.9544551552
13949-29391-00011-00-1,호계동 1058 교육연구시설 (김영식),39,37.3846005142,126.9587585321
13949-29391-00013-00-1,호계동 1058-2 교육연구시설 (배영수),20,37.3843158442,126.9589122532
13949-29391-00014-00-1,맥도날도 평촌점,5,37.384193327,126.9589755528
13949-29391-00018-00-1,아카데미센타,20,37.3836924516,126.9592468209
13949-29392-00012-00-1,,29,37.3844383599,126.9588444369
13949-29392-00017-00-1,,27,37.3838293822,126.9591744813
13950-29391-00028-00-1,,90,37.3829391286,126.9590530173
13950-29391-00036-00-1,,25,37.3829897832,126.9596265911
13951-29391-00002-00-1,,33,37.3827447509,126.9597622184
13951-29391-00004-00-1,,19,37.3823267524,126.9599882671
13951-29391-00005-00-1,,40,37.3822042346,126.9600515632
13951-29391-00098-00-1,제 105 호,2,37.3810722399,126.9591488774
13951-29391-00101-00-1,건축ㅎ가번호('93 - 343호),2,37.3794217109,126.9595788242
13951-29391-00104-00-1,제63호,2,37.3789820926,126.9598184244
13951-29391-00113-00-1,허가번호 제16호,1,37.3790182086,126.9600397042
13951-29391-00118-00-1,제114호,2,37.3797282994,126.9602877267
13953-29391-00003-00-1,개성하이뷰,13,37.3871156614,126.9276725819
13955-29391-00004-00-1,,21,37.3646160359,126.9595145204
13955-29391-00007-00-1,,15,37.3661132486,126.9641918097
13957-29391-11013-00-1,RAON HEIM,19,,
13958-29391-11013-00-1,,128,,
13960-29391-00001-00-1,관양동 00시설,15,37.3910155097,126.9697178445
13960-29391-00009-00-1,,16,37.3990107911,126.96211618
13960-29391-00011-00-1,관양 두산 벤처다임,230,37.4018774389,126.9667724647
13960-29392-00007-00-1,1,39,37.3977460005,126.96288478
13961-29391-00002-00-1,구스토쏘,1,37.4036679864,126.9539818187
13961-29391-00003-00-1,허가번호:210호,4,37.4036356093,126.9541354432
13961-29391-00008-00-1,은하수맨숀,7,37.4034121475,126.9541129905
13961-29391-00010-00-1,대주다세대,4,37.4032245997,126.9537652373
13961-29391-00012-00-1,삼손카세차장,1,37.4031668067,126.9534399943
13961-29391-00018-00-1,해담채,10,37.403279214,126.9552018526
13961-29391-00020-00-1,,14,37.4032254244,126.9559247263
13962-29391-00003-00-1,,51,37.4039934273,126.9568278378
13962-29391-00033-00-1,"1995.4.18 , 허가 제 118호",1,37.4056592975,126.9590316204
13962-29392-00006-00-1,,32,37.4040441186,126.9574738555
13962-29392-00010-00-1,테라리움(terrarium),15,37.4044478358,126.9576407872
13963-29391-00005-00-1,덕원맨숀7차,9,37.4068714,126.962437517
13963-29391-00010-00-1,위드힐,6,37.4066447685,126.9638020558
13964-29391-00001-00-1,건축하가 ('93-224호),2,37.4075670291,126.9625681923
13964-29391-00007-00-1,은빛설레임,8,37.4062514088,126.9621577141
13964-29391-00011-00-1,유진소르베Ⅱ,8,37.4055051142,126.961385529
13964-29391-00022-00-1,,25,37.4044819127,126.9624974417
13964-29391-00027-00-1,,14,37.4048608034,126.9639836284
13964-29391-00045-00-1,유진소르베,12,37.4066270388,126.9647643909
13964-29391-00049-00-1,향나무재 레지던스,7,37.4070054119,126.9645789762
13964-29392-00023-00-1,,11,37.404334004,126.9620547684
13964-29392-00026-00-1,,42,37.4047345679,126.9636809928
13965-29391-00002-00-1,마창수산 인덕원점,4,37.4044877533,126.9703765455
13965-29391-00006-00-1,,14,37.4041746942,126.972427758
13965-29391-00016-00-1,,33,37.4037241193,126.9721523379
13965-29391-00028-00-1,,20,37.4037171799,126.9733179303
13965-29392-00007-00-1,'93-268호,35,37.4040234023,126.9727711669
13966-29391-00009-00-1,박달2동다목적복지회관,5,37.4016945833,126.9030372837
13967-29391-00001-00-1,,46,37.403418114,126.973643316
13967-29391-00006-00-1,관양2동사무소,5,37.4022641786,126.9709602046
13967-29391-00008-00-1,00,4,37.4012482444,126.9727134417
13967-29391-00017-00-1,베라체,16,37.4006715605,126.9725826402
13968-29391-00010-00-1,허가번호:159,3,37.4049690653,126.9644443988
13968-29391-00020-00-1,인덕원 엘리시아,11,37.4060151379,126.9675341674
13968-29391-00024-00-1,영원해밀리지4,12,37.4054636212,126.9672000811
13968-29391-00026-00-1,제 359호,3,37.4054207488,126.9685870928
13968-29391-00042-00-1,,12,37.4023565995,126.9552837206
13969-29391-00025-00-1,,14,37.4038118407,126.9634148882
13969-29391-00036-00-1,,34,37.4041151117,126.9651631348
13969-29391-00044-00-1,에버리스,8,37.4032717802,126.965244845
13970-29391-00004-00-1,다가구신축,4,37.4021999698,126.9607773356
13970-29391-00013-00-1,,22,37.403140786,126.9612331386
13970-29391-00017-00-1,,91,37.4036278023,126.9626785788
13970-29391-00022-00-1,,11,37.4032998763,126.9628233099
13970-29391-00027-00-1,해담채,5,37.4022976726,126.9619789942
13970-29391-00036-00-1,성도개발,8,37.4033946534,126.9664013375
13970-29391-00039-00-1,햇살가득한 집(B),6,37.4038922551,126.9672504619
13970-29391-00042-00-1,햇살가득한 집(A),6,37.4038958917,126.9673679231
13970-29391-00044-00-1,허가번호 : 제 13 호,6,37.4043102583,126.9669972817
13970-29391-00053-00-1,관양동 소매점,4,37.4043609753,126.9679414857
13970-29391-00056-00-1,,17,37.4040369535,126.9692427528
13972-29391-00013-00-1,,14,37.3879387178,126.9362357248
13972-29391-00014-00-1,,63,37.3900156767,126.9381220581
13974-29391-00001-00-1,94-86호,5,37.4008704632,126.9756816546
13975-29391-00001-00-1,한양하우징,10,37.399320726,126.9757770234
13976-29391-00005-00-1,햇살가득한 집,7,37.3869690363,126.9735632561
13976-29391-00022-00-1,만안청소년수련관,134,37.3831037765,126.9268137739
13976-29391-00025-00-1,법원사,8,37.3838958505,126.9254896403
13976-29391-00031-00-1,스페이스 블래스유,8,37.3963112569,126.9755024339
13976-29391-00033-00-1,평안동사무소,6,37.3903580406,126.96425707
13976-29391-00034-00-1,평안파출소,2,37.3904518245,126.9645144941
13976-29391-00035-00-1,,411,37.3950795912,126.964900798
13976-29391-00037-00-1,한국전력공사안양복합화력발전소,103,37.3941720035,126.9671372437
13976-29391-00038-00-1,허가번호 : 450호,4,37.3929542539,126.9687323272
13976-29391-00042-00-1,평촌트윈마트,44,37.3849973545,126.959891998
13976-29392-00041-00-1,,15,37.3901564665,126.9651108742
13979-29391-00001-00-1,.,7,37.4058244979,126.9689348038
13980-29391-00024-00-1,안양위너스골프클럽,120,37.3791828488,126.9402220143
13980-29392-00007-00-1,,18,37.4004995779,126.9773713557
13980-29392-00014-00-1,,12,37.3990147658,126.9777467554
13981-29392-00001-00-1,,26,37.3928079009,126.9613288031
13983-29391-00006-00-1,해뜨는집,6,37.4059184425,126.9698564212
