prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30082-29391-00010-00-1,,5,37.4193222565,126.9174473723,부설,0.9,False,False,False
30082-29391-00011-00-1,휴캐슬,4,37.4203097843,126.9174643635,부설,0.9,True,False,False
30083-29391-00001-00-1,,1,37.3889157624,126.9091786607,부설,0.9,False,False,False
30083-29391-00002-00-1,,14,37.3888421695,126.9072319673,애매,0.3,False,False,False
30083-29391-00003-00-1,,4,37.3883559887,126.9077068373,부설,0.9,False,False,False
30083-29391-00004-00-1,안양동금용아파트,114,37.3881732786,126.9091253541,부설,0.9,True,False,False
30083-29391-00005-00-1,다가구주택,2,37.3873547572,126.9086159428,부설,0.9,True,False,False
30083-29391-00006-00-1,,1,37.3858646339,126.9065265111,부설,0.9,False,False,False
30083-29391-00007-00-1,,3,37.3855181865,126.9059533208,부설,0.9,False,False,False
30083-29391-00008-00-1,,4,37.385420973,126.9060753928,부설,0.9,False,False,False
30083-29391-00009-00-1,,6,37.3860591547,126.9063998013,부설,0.9,False,False,False
30083-29391-00010-00-1,,4,37.3847880037,126.9032803743,부설,0.9,False,False,False
30083-29391-00011-00-1,52사단간부숙소,45,37.3849181259,126.8994094291,애매,0.3,False,False,False
30083-29391-00012-00-1,다가구주택,3,37.3839572172,126.9010502396,부설,0.9,True,False,False
30083-29391-00031-00-1,청송아트빌,6,37.3840044625,126.9015199045,부설,0.9,True,False,False
30083-29391-00032-00-1,현대하이빌,8,37.3839825893,126.9012218372,부설,0.9,True,False,False
30083-29391-00033-00-1,행운아트홀,16,37.3836185988,126.9012494142,애매,0.3,False,False,False
30083-29391-00034-00-1,동산빌딩,14,37.3835547819,126.902523173,부설,0.9,True,False,False
30083-29391-00035-00-1,포커스라인프라자,22,37.3842217134,126.9027345908,부설,0.9,True,False,False
30083-29391-00036-00-1,청운홈타운,11,37.3832867316,126.900902074,부설,0.9,True,False,False
30083-29391-00037-00-1,다가구주택,3,37.3831104786,126.9013178288,부설,0.9,True,False,False
30083-29391-00046-00-1,,3,37.3807606641,126.9058057042,부설,0.9,False,False,False
30083-29391-00047-00-1,돌석도예전시장,14,37.3790804448,126.9049180924,비부설,0.9,False,True,False
30083-29391-00048-00-1,,2,37.3733217077,126.9012674297,부설,0.9,False,False,False
30083-29391-00049-00-1,,2,37.3718146822,126.9050446762,부설,0.9,False,False,False
30083-29391-00050-00-1,,1,37.4021689138,126.9204659437,부설,0.9,False,False,False
30083-29391-00051-00-1,안양3동청사/다목적복지회관,7,37.3962722443,126.9147396677,비부설,0.9,False,True,False
