pid,lat,lon,zone_commercial_ratio,zone_residential_ratio,zone_industrial_ratio,zone_green_ratio,zone_other_ratio,zone_covered,zone_truncated,land_price,land_price_500m_mean,land_price_n,cad_truncated,daynight_axis
auc:20,37.38556683,126.90721834,0.0,0.1778072239934834,0.0,0.8221927760065165,0.0,0.9999998001919536,0,51600.0,1044473.8944365192,701,0,0.0
auc:21,37.4074196612729,126.956130323887,0.0,0.6757212842350577,0.0,0.3242787157649423,0.0,1.0006652410534855,0,,2582870.8124373117,997,1,0.0
auc:22,37.40444562034373,126.90956991300644,0.0,0.8417702656902251,0.0,0.1582297343097749,0.0,1.0180139741082257,0,,2132794.3943943945,999,1,0.0
auc:23,37.3887796681819,126.934469584928,0.3573568400334633,0.1072296100531758,0.4661384077774346,0.0692751421359262,0.0,1.0014216160322826,0,,2281834.5345345344,999,1,0.7691934191512065
auc:24,37.41856017272568,126.9096800322598,0.0,0.5728499465199806,0.0,0.4271500534800194,0.0,1.0000062661624478,0,457700.0,1486790.8527918782,985,1,0.0
auc:25,37.419874885631394,126.90867302936446,0.0,0.4888607118620015,0.0,0.5111392881379985,0.0,1.0000013280373252,0,457700.0,1396938.932238193,974,1,0.0
auc:26,37.41836074,126.93314715,0.0,0.0922614939132899,0.0,0.90773850608671,0.0,1.0000000000000024,0,1462000.0,1032862.715231788,151,0,0.0
auc:27,37.3988203,126.97503915,0.157081902241858,0.4154084529775068,0.3272237771289344,0.1002858676517007,0.0,0.9996133023509352,0,,2802364.2276422763,984,1,0.2743834910226006
auc:28,37.396888465406434,126.9158892072852,0.074470586429416,0.8419525243523655,0.0,0.0835768892182185,0.0,1.0029351495003116,0,1907000.0,2645006.143001007,993,1,0.08126223089887671
auc:29,37.39557785,126.92523641,0.4627233666822837,0.5006143242794716,0.0,0.0366623090382447,0.0,1.0053819185947983,0,,3456612.2122122124,999,1,0.4803335019730417
auc:30,37.399061469914095,126.9407246131388,0.0100908066782742,0.7133968095978401,0.0,0.2765123837238855,0.0,0.9999991421661204,0,3034000.0,1851357.258064516,496,0,0.013947449066527088
auc:31,37.3987176748396,126.964390883742,0.1445528977584524,0.1688570969558215,0.6315416716108123,0.0550483336749137,0.0,0.9999984861258964,0,1087000.0,2976735.972222222,720,0,0.46122618996320386
auc:33,37.40295341281706,126.91119809375613,0.0,0.9166358388054806,0.0,0.0833641611945195,0.0,1.0251462977299828,0,,2073789.98998999,999,1,0.0
auc:34,37.408331141669294,126.97260074517978,0.0,0.430537028432986,0.0,0.4385800855757203,0.1308828859912936,1.1477462956737126,0,2708000.0,2102254.188210962,967,0,0.0
auc:35,37.39779841457655,126.97351089035716,0.0881737627860531,0.3004280050574355,0.5353567607831833,0.076041471373328,0.0,0.9999998812779716,0,,3134552.309236948,996,1,0.22690005574438238
auc:36,37.40915003323597,126.89974583011583,0.0,0.3932502673607685,0.0,0.6067497326392315,0.0,1.0002724527643851,0,1831000.0,1670584.5691382766,998,1,0.0
auc:37,37.40645675,126.96111034,0.0,0.8041608569229668,0.0,0.1958391430770331,0.0,1.000665297172682,0,,2623677.9233870967,992,1,0.0
auc:38,37.39907032305772,126.91786035617665,0.3030092362606332,0.6968684445866273,0.0,0.0001223191527393,0.0,1.0002063562751242,0,957900.0,3574955.120481928,996,1,0.30304630462785614
auc:39,37.39074132953522,126.93374109041174,0.3730539800860941,0.220050944041535,0.3429230551056125,0.0639720207667582,0.0,0.9999997782600712,0,1266000.0,2315908.3,1000,1,0.628984796635776
auc:40,37.38992399757475,126.9304218429056,0.4925864406810515,0.3396705055480164,0.1007465791354253,0.0669964746355066,0.0,1.0005833719870063,0,2831000.0,2436070.0400801604,998,1,0.591868224005755
auc:41,37.39089887796081,126.92961634770332,0.5109012851695008,0.3833788263143343,0.0505858847015443,0.0551340038146205,0.0,0.9999998811520704,0,2831000.0,2377852.50501002,998,1,0.571298946055937
auc:42,37.37322392186054,126.95438032787509,0.0973443052897615,0.6113313011680604,0.2849296716325038,0.0063947219096741,0.0,0.9999999553312175,0,1086000.0,3012399.8449612404,645,0,0.13736088049695713
auc:45,37.392807723941,126.961338853857,0.4506534006290581,0.2954432763446901,0.0987014309142673,0.1552018921119844,0.0,0.9999998272755396,0,7586000.0,5495125.38071066,197,0,0.6040147537675128
