horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
60,accessible,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,accessible,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,all,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,all,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,all,all,7458,66,1,7.533779667908325,6.1198675693865425,12.776611050474346,10.705788673258144,1.4139120985217826,18.767632726832062,better,4,2026-09-15
60,all,weekday,7458,66,1,7.533779667908325,6.1198675693865425,12.776611050474346,10.705788673258144,1.4139120985217826,18.767632726832062,better,4,2026-09-15
60,all,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
60,accessible,all,7458,66,1,7.533779667908325,6.1198675693865425,12.776611050474346,10.705788673258144,1.4139120985217826,18.767632726832062,better,4,2026-09-15
60,accessible,weekday,7458,66,1,7.533779667908325,6.1198675693865425,12.776611050474346,10.705788673258144,1.4139120985217826,18.767632726832062,better,4,2026-09-15
60,accessible,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
60,closed,all,0,0,0,,,,,,,unavailable,4,2026-09-15
60,closed,weekday,0,0,0,,,,,,,unavailable,4,2026-09-15
60,closed,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
60,unknown,all,0,0,0,,,,,,,unavailable,4,2026-09-15
60,unknown,weekday,0,0,0,,,,,,,unavailable,4,2026-09-15
60,unknown,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
60,all,all,10571,66,1,7.10354038270166,5.479214188653401,12.1652148304349,9.776587718787376,1.6243261940482592,22.866431476954396,better,5,2026-09-16
60,all,weekday,10571,66,1,7.10354038270166,5.479214188653401,12.1652148304349,9.776587718787376,1.6243261940482592,22.866431476954396,better,5,2026-09-16
60,all,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
60,accessible,all,10571,66,1,7.10354038270166,5.479214188653401,12.1652148304349,9.776587718787376,1.6243261940482592,22.866431476954396,better,5,2026-09-16
60,accessible,weekday,10571,66,1,7.10354038270166,5.479214188653401,12.1652148304349,9.776587718787376,1.6243261940482592,22.866431476954396,better,5,2026-09-16
60,accessible,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
60,closed,all,0,0,0,,,,,,,unavailable,5,2026-09-16
60,closed,weekday,0,0,0,,,,,,,unavailable,5,2026-09-16
60,closed,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
60,unknown,all,0,0,0,,,,,,,unavailable,5,2026-09-16
60,unknown,weekday,0,0,0,,,,,,,unavailable,5,2026-09-16
60,unknown,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
60,all,all,5465,66,1,5.560793009296973,3.979633608007348,10.170178816057438,7.595548480989626,1.5811594012896255,28.4340632468448,better,6,2026-09-17
60,all,weekday,5465,66,1,5.560793009296973,3.979633608007348,10.170178816057438,7.595548480989626,1.5811594012896255,28.4340632468448,better,6,2026-09-17
60,all,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
60,accessible,all,5465,66,1,5.560793009296973,3.979633608007348,10.170178816057438,7.595548480989626,1.5811594012896255,28.4340632468448,better,6,2026-09-17
60,accessible,weekday,5465,66,1,5.560793009296973,3.979633608007348,10.170178816057438,7.595548480989626,1.5811594012896255,28.4340632468448,better,6,2026-09-17
60,accessible,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
60,closed,all,0,0,0,,,,,,,unavailable,6,2026-09-17
60,closed,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
60,closed,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
60,unknown,all,0,0,0,,,,,,,unavailable,6,2026-09-17
60,unknown,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
60,unknown,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
60,all,all,10043,66,1,6.051157534086416,4.874169976697296,10.439970786511545,8.477649190445039,1.1769875573891202,19.450618344657226,better,7,2026-09-18
60,all,weekday,10043,66,1,6.051157534086416,4.874169976697296,10.439970786511545,8.477649190445039,1.1769875573891202,19.450618344657226,better,7,2026-09-18
60,all,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
60,accessible,all,10043,66,1,6.051157534086416,4.874169976697296,10.439970786511545,8.477649190445039,1.1769875573891202,19.450618344657226,better,7,2026-09-18
60,accessible,weekday,10043,66,1,6.051157534086416,4.874169976697296,10.439970786511545,8.477649190445039,1.1769875573891202,19.450618344657226,better,7,2026-09-18
60,accessible,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
60,closed,all,0,0,0,,,,,,,unavailable,7,2026-09-18
60,closed,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
60,closed,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
60,unknown,all,0,0,0,,,,,,,unavailable,7,2026-09-18
60,unknown,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
